testing
Epoch [0], train_loss: 1.4603, val_loss: 1.2323, val_acc: 0.4688
Epoch [1], train_loss: 1.3111, val_loss: 1.2166, val_acc: 0.4688
Epoch [2], train_loss: 1.2788, val_loss: 1.1292, val_acc: 0.4688
Epoch [3], train_loss: 0.9846, val_loss: 0.7281, val_acc: 0.6992
Epoch [4], train_loss: 0.7663, val_loss: 0.6238, val_acc: 0.7227
Epoch [5], train_loss: 0.7035, val_loss: 0.7053, val_acc: 0.6602
Epoch [6], train_loss: 0.6562, val_loss: 0.6004, val_acc: 0.7227
Epoch [7], train_loss: 0.6898, val_loss: 0.6054, val_acc: 0.7188
Epoch [8], train_loss: 0.6423, val_loss: 0.6694, val_acc: 0.7031
Epoch [9], train_loss: 0.6279, val_loss: 0.6127, val_acc: 0.7070
Epoch [10], train_loss: 0.5957, val_loss: 0.6296, val_acc: 0.7383
Epoch [11], train_loss: 0.6155, val_loss: 0.6410, val_acc: 0.6992
Epoch [12], train_loss: 0.6037, val_loss: 0.7698, val_acc: 0.6680
Epoch [13], train_loss: 0.7187, val_loss: 0.6911, val_acc: 0.7188
Epoch [14], train_loss: 0.6090, val_loss: 0.6291, val_acc: 0.7031
Epoch [15], train_loss: 0.5006, val_loss: 0.7522, val_acc: 0.6797
Epoch [16], train_loss: 0.4485, val_loss: 0.6581, val_acc: 0.7383
Epoch [17], train_loss: 0.4402, val_loss: 0.7016, val_acc: 0.7656
Epoch [18], train_loss: 0.3733, val_loss: 0.7569, val_acc: 0.7578
Epoch [19], train_loss: 0.2851, val_loss: 0.8671, val_acc: 0.7383
Epoch [20], train_loss: 0.1483, val_loss: 1.4751, val_acc: 0.7031
Epoch [21], train_loss: 0.1412, val_loss: 1.6929, val_acc: 0.7070
Epoch [22], train_loss: 0.2176, val_loss: 1.1197, val_acc: 0.6055
Epoch [23], train_loss: 0.1529, val_loss: 1.1249, val_acc: 0.7422
Epoch [24], train_loss: 0.0699, val_loss: 1.9271, val_acc: 0.6797
Epoch [25], train_loss: 0.0792, val_loss: 2.0493, val_acc: 0.7188
Epoch [26], train_loss: 0.0658, val_loss: 1.4998, val_acc: 0.7422
Epoch [27], train_loss: 0.0363, val_loss: 1.7625, val_acc: 0.6602
Epoch [28], train_loss: 0.0159, val_loss: 1.7665, val_acc: 0.7539
Epoch [29], train_loss: 0.0398, val_loss: 2.3661, val_acc: 0.6914
